open_time,open,high,low,close,volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-12-01 00:00:00,96475.2,96653.3,96402.6,96632.4,873.982,570.198,55063867.2969
2024-12-01 00:15:00,96632.5,96685.9,96569.7,96669.5,612.831,280.82,27136647.5292
2024-12-01 00:30:00,96669.6,96746.3,96313.0,96346.1,1204.206,515.285,49757597.9518
2024-12-01 00:45:00,96346.2,96510.0,96335.9,96403.2,1510.056,1005.852,96985692.2417
2024-12-01 01:00:00,96403.2,96480.0,96205.2,96323.4,1723.387,658.591,63418868.4046
2024-12-01 01:15:00,96323.4,96538.4,96228.0,96510.2,1099.075,702.181,67673546.6647
2024-12-01 01:30:00,96510.1,96586.8,96450.0,96511.2,812.031,435.133,42001121.1593
2024-12-01 01:45:00,96511.3,96601.0,96095.2,96164.9,2175.036,847.151,81566920.5917
2024-12-01 02:00:00,96164.8,96487.0,96123.0,96221.1,5111.199,2693.3,259352300.9841
2024-12-01 02:15:00,96221.0,96314.4,96121.0,96188.9,1048.496,583.891,56165342.6993
2024-12-01 02:30:00,96188.9,96197.0,95813.0,95937.6,3302.765,1027.153,98530371.169
2024-12-01 02:45:00,95937.6,96057.4,95736.5,95844.9,1716.569,629.61,60392962.5572
2024-12-01 03:00:00,95844.9,96283.5,95835.4,96227.9,1301.71,887.907,85310137.8188
2024-12-01 03:15:00,96227.9,96254.7,96049.7,96108.0,684.173,298.664,28721906.679
2024-12-01 03:30:00,96108.0,96377.9,96095.5,96372.1,1179.151,884.484,85126729.262
2024-12-01 03:45:00,96372.1,96535.0,96344.6,96404.0,1777.513,1033.588,99693078.556
2024-12-01 04:00:00,96404.0,96425.6,96269.0,96341.5,1028.737,323.844,31197819.2588
2024-12-01 04:15:00,96341.5,96464.8,96249.1,96464.7,750.611,418.605,40341125.064
2024-12-01 04:30:00,96464.8,96486.7,96387.0,96414.2,456.96,165.505,15960312.6298
2024-12-01 04:45:00,96414.1,96585.0,96414.0,96572.2,814.604,400.734,38672111.9024
2024-12-01 05:00:00,96572.1,96582.8,96460.0,96460.1,628.546,278.056,26840238.4767
2024-12-01 05:15:00,96460.1,96577.7,96406.7,96489.9,793.606,227.259,21933226.8334
2024-12-01 05:30:00,96489.8,96528.9,96414.6,96511.1,430.237,173.558,16744534.7776
2024-12-01 05:45:00,96511.2,96540.0,96324.8,96384.6,630.988,225.632,21760617.2473
2024-12-01 06:00:00,96384.6,96560.9,96350.0,96537.6,560.148,266.955,25753355.659
2024-12-01 06:15:00,96537.6,96550.0,96402.5,96435.6,479.221,220.718,21295209.5341
2024-12-01 06:30:00,96435.5,96538.4,96435.5,96470.5,339.075,153.457,14808262.8194
2024-12-01 06:45:00,96470.5,96482.1,96379.5,96391.9,546.231,133.939,12916444.0656
2024-12-01 07:00:00,96391.9,96457.6,96366.0,96391.8,548.991,279.752,26966621.4615
2024-12-01 07:15:00,96391.8,96536.2,96391.8,96513.7,340.641,162.125,15643859.9406
2024-12-01 07:30:00,96513.7,96536.2,96450.0,96487.9,421.577,268.997,25958052.1185
2024-12-01 07:45:00,96487.9,96565.0,96470.4,96525.4,383.342,253.047,24427701.0608
2024-12-01 08:00:00,96525.4,96799.6,96480.0,96785.0,1334.424,865.455,83660942.3359
2024-12-01 08:15:00,96785.0,97250.0,96740.9,97018.2,4354.358,2367.94,229730036.5207
2024-12-01 08:30:00,97018.2,97165.0,96816.5,97093.6,3759.824,1916.56,185981618.282
2024-12-01 08:45:00,97093.6,97238.3,97052.0,97100.0,1806.658,983.852,95573525.2828
2024-12-01 09:00:00,97100.1,97164.0,96925.0,97011.7,1209.655,532.453,51669904.1397
2024-12-01 09:15:00,97011.7,97084.0,96914.6,96958.8,1108.037,377.559,36629734.0869
2024-12-01 09:30:00,96958.7,97083.6,96909.4,97053.1,487.67,303.87,29474045.4971
2024-12-01 09:45:00,97053.1,97094.2,96975.6,97087.0,382.659,202.916,19690832.5698
2024-12-01 10:00:00,97087.0,97100.0,96911.3,96913.9,855.851,239.011,23184611.1407
2024-12-01 10:15:00,96913.9,96943.5,96828.4,96934.1,648.124,252.662,24480989.1261
2024-12-01 10:30:00,96934.1,96945.9,96585.1,96820.4,1939.973,909.873,88003727.0722
2024-12-01 10:45:00,96820.4,96900.0,96809.8,96867.6,627.465,325.22,31498969.5492
2024-12-01 11:00:00,96867.7,97039.3,96867.6,97027.1,719.227,435.805,42266731.8892
2024-12-01 11:15:00,97027.1,97040.0,96961.3,97040.0,411.068,199.586,19361616.42
2024-12-01 11:30:00,97040.0,97185.6,97039.9,97105.1,1263.644,849.489,82487873.9815
2024-12-01 11:45:00,97105.0,97196.4,97039.3,97163.7,624.737,284.792,27658036.1425
2024-12-01 12:00:00,97163.7,97184.0,97086.8,97124.8,663.02,319.294,31015926.4022
2024-12-01 12:15:00,97124.8,97129.7,96940.0,97004.1,1048.25,315.367,30595844.6707
2024-12-01 12:30:00,97004.1,97029.5,96912.1,96977.6,616.353,292.829,28398174.9652
2024-12-01 12:45:00,96977.6,96992.3,96830.0,96830.3,655.314,208.207,20174558.9838
2024-12-01 13:00:00,96830.4,97100.0,96705.3,97096.2,2083.669,1258.552,122009057.3503
2024-12-01 13:15:00,97096.2,97481.3,97077.0,97350.0,3243.838,2024.087,196934968.8319
2024-12-01 13:30:00,97349.9,97426.3,97108.6,97185.4,1800.77,704.745,68537250.6351
2024-12-01 13:45:00,97185.5,97236.6,97108.0,97134.5,1075.391,468.016,45476338.9117
2024-12-01 14:00:00,97134.5,97286.0,97021.9,97166.5,975.727,527.651,51273129.722
2024-12-01 14:15:00,97166.6,97349.1,97137.6,97175.3,1848.667,876.816,85268263.5116
2024-12-01 14:30:00,97173.2,97309.5,97000.0,97261.1,2328.498,1090.687,105950806.7495
2024-12-01 14:45:00,97261.2,97407.5,97199.9,97343.0,1275.297,802.652,78109706.0514
2024-12-01 15:00:00,97343.1,97371.4,97180.1,97266.9,818.142,317.986,30930801.1113
2024-12-01 15:15:00,97266.9,97302.6,97153.6,97260.3,517.705,239.025,23239923.8266
2024-12-01 15:30:00,97260.3,97298.9,97030.6,97131.8,1265.565,493.905,47981246.3024
2024-12-01 15:45:00,97131.8,97242.6,97010.0,97081.4,724.804,319.655,31044312.7402
2024-12-01 16:00:00,97081.5,97393.0,97052.5,97286.8,1617.533,847.795,82454843.7888
2024-12-01 16:15:00,97286.7,97382.8,97223.8,97293.4,895.951,347.641,33833293.2518
2024-12-01 16:30:00,97293.4,97433.0,97285.0,97395.0,1029.277,558.181,54352222.9096
2024-12-01 16:45:00,97394.9,97400.9,97173.9,97273.1,1678.021,734.973,71484825.1126
2024-12-01 17:00:00,97273.1,97322.4,97120.1,97194.0,674.533,379.782,36914131.7709
2024-12-01 17:15:00,97193.9,97257.8,97096.1,97201.2,627.332,342.497,33289050.4981
2024-12-01 17:30:00,97201.1,97286.0,97189.3,97279.6,483.931,297.681,28948844.1039
2024-12-01 17:45:00,97279.6,97375.0,97272.1,97375.0,419.823,234.075,22782232.4673
2024-12-01 18:00:00,97374.9,97600.0,97354.0,97597.0,2241.238,1465.562,142883104.9082
2024-12-01 18:15:00,97597.0,97632.8,97428.3,97498.3,849.746,386.677,37716289.2729
2024-12-01 18:30:00,97498.3,97498.4,97299.6,97357.9,689.405,228.674,22266345.6704
2024-12-01 18:45:00,97357.9,97370.0,97135.0,97185.6,1213.816,398.397,38736964.1453
2024-12-01 19:00:00,97185.4,97388.0,97144.9,97242.6,968.281,697.234,67833487.3123
2024-12-01 19:15:00,97242.7,97382.7,97088.8,97142.4,979.307,519.273,50493739.273
2024-12-01 19:30:00,97142.4,97211.4,97083.9,97084.2,477.235,257.979,25063449.8475
2024-12-01 19:45:00,97084.2,97260.0,97029.5,97242.0,770.587,428.351,41607776.3288
2024-12-01 20:00:00,97242.1,97278.1,96916.1,97074.7,1469.777,564.966,54838122.6515
2024-12-01 20:15:00,97074.7,97143.0,96856.8,96911.5,918.381,452.681,43908477.7709
2024-12-01 20:30:00,96911.5,97076.9,96852.7,97014.0,990.487,524.197,50826424.5646
2024-12-01 20:45:00,97014.0,97169.6,96965.9,97169.6,505.721,307.125,29820203.092
2024-12-01 21:00:00,97169.6,97349.1,97116.6,97322.1,1056.197,579.091,56323503.7341
2024-12-01 21:15:00,97322.0,97424.0,97302.7,97360.7,566.068,232.149,22604161.5007
2024-12-01 21:30:00,97360.7,97519.8,97307.3,97512.3,686.549,358.124,34895874.8156
2024-12-01 21:45:00,97512.3,97878.9,97512.3,97848.2,2420.873,1586.327,155019385.7223
2024-12-01 22:00:00,97848.2,97933.0,97510.6,97606.5,1766.704,600.763,58752443.3731
2024-12-01 22:15:00,97606.6,97682.0,97455.7,97463.9,1252.584,576.301,56215713.0861
2024-12-01 22:30:00,97463.9,97713.3,97461.7,97540.0,1762.843,1105.025,107838855.9447
2024-12-01 22:45:00,97540.0,97775.1,97533.4,97645.5,780.551,335.813,32794551.6436
2024-12-01 23:00:00,97645.5,97856.0,97600.0,97694.0,1640.169,832.154,81353091.5769
2024-12-01 23:15:00,97694.1,97807.1,97426.1,97702.2,1257.257,652.854,63752652.4905
2024-12-01 23:30:00,97702.2,97725.0,97398.0,97414.9,1228.855,485.945,47405672.3738
2024-12-01 23:45:00,97415.0,97482.5,97250.0,97265.1,1543.879,745.789,72604051.7281
2024-12-02 00:00:00,97265.0,97441.0,97147.4,97314.6,1904.515,954.923,92902821.0409
